facility_aor,detloc,state,facility,facility_id,dataset
ATL (Atlanta),STWRTGA,GA,GA - Stewart Detention Center ,stewart_detention_center_ga,icij
ATL (Atlanta),IRWINGA,GA,GA - Irwin County Detention Center ,irwin_county_detention_center_ga,icij
ATL (Atlanta),ATLANGA,GA,GA - Atlanta City Detention Center ,atlanta_city_detention_center_pretrial_ga,icij
ATL (Atlanta),YORCOSC,SC,SC - York County Detention Center ,york_county_detention_center_sc,icij
ATL (Atlanta),IRWINGA,,IRWIN COUNTY DETENTION CENTER (GA),,pogo
ATL (Atlanta),ATLANGA,,ATLANTA CITY DETENTION CENTER (GA),,pogo
ATL (Atlanta),STWRTGA,,STEWART DETENTION CENTER (GA),,pogo
ATL (Atlanta),JAMESGA,,FOLKSTON ICE PROCESSING CENTER (D. RAY JAMES) (GA),,pogo
ATL (Atlanta),CHARLSC,,CHARLESTON COUNTY DETENTION CENTER (SC),,pogo
BAL (Baltimore),WORCEMD,MD,MD - Worcester County Jail ,worcester_county_jail_md,icij
BAL (Baltimore),HOWARMD,MD,MD - Howard County Detention Center ,howard_county_detention_center_md,icij
BAL (Baltimore),WORCEMD,,WORCESTER COUNTY JAIL (MD),,pogo
BAL (Baltimore),HOWARMD,,HOWARD COUNTY DETENTION CENTER (MD),,pogo
BOS (Boston),SUFFOMA,MA,MA - Suffolk County House Of Corrections ,suffolk_county_house_of_corrections_ma,icij
BOS (Boston),PLYMOMA,MA,MA - Plymouth County Correctional Facility ,plymouth_county_correctional_facility_ma,icij
BOS (Boston),BRINDMA,MA,MA - Bristol Cnty Ndartmouth,bristol_cnty_ndartmouth,icij
BOS (Boston),GREENMA,MA,MA - Franklin County House Of Corrections ,franklin_county_house_of_corrections_greenfield_ma,icij
BOS (Boston),BRINBMA,MA,MA - Bristol County Jail ,bristol_county_jail_new_bedford_ma,icij
BOS (Boston),STRAFNH,NH,NH - Strafford County Corrections ,strafford_county_corrections_nh,icij
BOS (Boston),BRINDMA,,BRISTOL COUNTY DETENTION CENTER (MA),,pogo
BOS (Boston),SUFFOMA,,SUFFOLK COUNTY HOUSE OF CORRECTIONS (MA),,pogo
BOS (Boston),GREENMA,,FRANKLIN COUNTY HOUSE OF CORRECTION (MA),,pogo
BOS (Boston),PLYMOMA,,PLYMOUTH COUNTY CORRECTIONAL FACILITY (MA),,pogo
BOS (Boston),BRINBMA,,BRISTOL COUNTY JAIL (NEW BEDFORD) (MA),,pogo
BUF (Buffalo),BTV,NY,NY - Buffalo (batavia) Service Processing Center,buffalo_batavia_service_processing_center_ny,icij
BUF (Buffalo),CHACONY,NY,NY - Chautauqua County Jail ,chautauqua_county_jail_ny,icij
BUF (Buffalo),ALLEGNY,NY,NY - Allegany County Jail ,allegany_county_jail_ny,icij
BUF (Buffalo),BTV,,BUFFALO (BATAVIA) SERVICE PROCESSING CENTER (NY),,pogo
BUF (Buffalo),CHACONY,,CHAUTAUQUA COUNTY JAIL (NY),,pogo
CHI (Chicago),MCHENIL,IL,IL - Mchenry County Correctional Facility ,mchenry_county_correctional_facility_il,icij
CHI (Chicago),TRICOIL,IL,IL - Tri-county Detention Center ,tri-county_detention_center_il,icij
CHI (Chicago),PULASIL,IL,IL - Pulaski County Jail ,pulaski_county_jail_il,icij
CHI (Chicago),BUTLEKS,KS,KS - Butler County Jail ,butler_county_jail_ks,icij
CHI (Chicago),SHACOKS,KS,KS - Shawnee County Department Of Corrections ,shawnee_county_department_of_corrections_ks,icij
CHI (Chicago),CHASEKS,KS,KS - Chase County Detention Facility ,chase_county_detention_facility_ks,icij
CHI (Chicago),BOONEKY,KY,KY - Boone County Jail ,boone_county_jail_ky,icij
CHI (Chicago),CHRISMO,MO,MO - Christian County Jail ,christian_county_jail_mo,icij
CHI (Chicago),KENOSWI,WI,WI - Kenosha County Detention Center ,kenosha_county_detention_center_wi,icij
CHI (Chicago),KENOSW2,WI,WI - Kenosha County Pretrial Facility ,kenosha_county_pretrial_facility_wi,icij
CHI (Chicago),DODGEWI,WI,WI - Dodge County Jail ,dodge_county_jail_wi,icij
CHI (Chicago),PULASIL,,PULASKI COUNTY JAIL (IL),,pogo
CHI (Chicago),KENOSWI,,KENOSHA COUNTY DETENTION CENTER (WI),,pogo
CHI (Chicago),BUTLEKS,,BUTLER COUNTY JAIL (KS),,pogo
CHI (Chicago),BOONEKY,,BOONE COUNTY JAIL (KY),,pogo
CHI (Chicago),CHASEKS,,CHASE COUNTY DETENTION FACILITY (KS),,pogo
CHI (Chicago),MCHENIL,,MCHENRY COUNTY CORRECTIONAL FACILITY (IL),,pogo
CHI (Chicago),TRICOIL,,TRI-COUNTY DETENTION CENTER (IL),,pogo
CHI (Chicago),CHRISMO,,CHRISTIAN COUNTY JAIL (MO),,pogo
CHI (Chicago),DODGEWI,,DODGE COUNTY JAIL (WI),,pogo
DAL (Dallas),HASKLTX,TX,TX - Rolling Plains Detention Center ,rolling_plains_detention_center_tx,icij
DAL (Dallas),JOHNSTX,TX,TX - Johnson County Law Enforcement Center ,johnson_county_law_enforcement_center_tx,icij
DAL (Dallas),PRLDCTX,,PRAIRIELAND DETENTION FACILITY (TX),,pogo
DAL (Dallas),JOHNSTX,,JOHNSON COUNTY CORRECTIONS CENTER (TX),,pogo
DAL (Dallas),HASKLTX,,ROLLING PLAINS DETENTION CENTER (TX),,pogo
DAL (Dallas),TULCOOK,,TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR) (OK),,pogo
DEN (Denver),DENICDF,CO,CO - Denver Contract Detention Facility ,denver_contract_detention_facility_co,icij
DEN (Denver),DENICDF,,DENVER CONTRACT DETENTION FACILITY (CO),,pogo
DET (Detroit),CHIPPMI,MI,MI - Chippewa County Ssm ,chippewa_county_ssm_mi,icij
DET (Detroit),STCLAMI,MI,MI - Saint Clair County Jail ,saint_clair_county_jail_mi,icij
DET (Detroit),CALHOMI,MI,MI - Calhoun County Correctional Center ,calhoun_county_correctional_center_mi,icij
DET (Detroit),SENECOH,OH,OH - Seneca County Jail ,seneca_county_jail_oh,icij
DET (Detroit),BUTLEOH,OH,OH - Butler County Jail ,butler_county_jail_oh,icij
DET (Detroit),GEAUGOH,OH,OH - Geauga County Jail ,geauga_county_jail_oh,icij
DET (Detroit),SENECOH,,SENECA COUNTY JAIL (OH),,pogo
DET (Detroit),STCLAMI,,SAINT CLAIR COUNTY JAIL (MI),,pogo
DET (Detroit),GEAUGOH,,GEAUGA COUNTY JAIL (OH),,pogo
DET (Detroit),CALHOMI,,CALHOUN COUNTY CORRECTIONAL CENTER (MI),,pogo
DET (Detroit),CHIPPMI,,CHIPPEWA COUNTY SSM (MI),,pogo
DET (Detroit),CCANOOH,,NORTHEAST OHIO CORRECTIONAL CTR (YOUNGSTOWN CDF) (OH),,pogo
DET (Detroit),MOROWOH,,MORROW COUNTY CORRECTIONAL FACILITY (OH),,pogo
DET (Detroit),BUTLEOH,,BUTLER COUNTY JAIL (OH),,pogo
ELP (El Paso),OTRPCNM,NM,NM - Otero County Processing Center ,otero_county_processing_center_nm,icij
ELP (El Paso),TOORANM,NM,NM - Torrance County Detention Facility ,torrance_county_detention_facility_nm,icij
ELP (El Paso),EPC,TX,TX - El Paso Service Processing Center ,el_paso_service_processing_center_tx,icij
ELP (El Paso),WTXDFTX,TX,TX - West Texas Detention Facility ,west_texas_detention_facility_tx,icij
ELP (El Paso),EPC,,EL PASO SERVICE PROCESSING CENTER (TX),,pogo
ELP (El Paso),CIBOCNM,,CIBOLA COUNTY CORRECTIONAL CENTER (NM),,pogo
ELP (El Paso),WTXDFTX,,WEST TEXAS DETENTION FACILITY (TX),,pogo
ELP (El Paso),OTRPCNM,,OTERO COUNTY PROCESSING CENTER (NM),,pogo
ELP (El Paso),TOORANM,,TORRANCE COUNTY DETENTION FACILITY (NM),,pogo
HOU (Houston),HOUICDF,TX,TX - Houston Contract Detention Facility ,houston_contract_detention_facility_tx,icij
HOU (Houston),MONTGTX,TX,TX - Joe Corley Detention Facility ,joe_corley_detention_facility_montgomery_county_tx,icij
HOU (Houston),HOUICDF,,HOUSTON CONTRACT DETENTION FACILITY (TX),,pogo
HOU (Houston),MONTGTX,,JOE CORLEY ICE PROCESSING CENTER (TX),,pogo
HOU (Houston),POLKCTX,,IAH SECURE ADULT DETENTION FACILITY (POLK) (TX),,pogo
LOS (Los Angeles),ADLNTCA,CA,CA - Adelanto Correctional Facility ,adelanto_correctional_facility_ca,icij
LOS (Los Angeles),SACITCA,CA,CA - Santa Ana City Jail ,santa_ana_city_jail_ca,icij
LOS (Los Angeles),TLACYCA,CA,CA - Theo Lacy Facility ,theo_lacy_facility_ca,icij
LOS (Los Angeles),ADLNTCA,,ADELANTO ICE PROCESSING CENTER (CA),,pogo
LOS (Los Angeles),SACITCA,,SANTA ANA CITY JAIL (CA),,pogo
LOS (Los Angeles),TLACYCA,,THEO LACY FACILITY (CA),,pogo
MIA (Miami),BAKERFL,FL,FL - Baker County Sheriff's Office ,baker_county_sheriffs_office_fl,icij
MIA (Miami),KRO,FL,FL - Krome North Service Processing Center ,krome_north_service_processing_center_fl,icij
MIA (Miami),WAKULFL,FL,FL - Wakulla County Jail ,wakulla_county_jail_fl,icij
MIA (Miami),MONROFL,FL,FL - Monroe County Detention Center ,monroe_county_detention_center_fl,icij
MIA (Miami),GLADEFL,FL,FL - Glades County Detention Center ,glades_county_detention_center_fl,icij
MIA (Miami),GLADEF2,FL,FL - Glades County Detention Center Female ,glades_county_detention_center_female_fl,icij
MIA (Miami),BAKERFL,,BAKER COUNTY SHERIFF'S OFFICE (FL),,pogo
MIA (Miami),GLADEFL,,GLADES COUNTY DETENTION CENTER (FL),,pogo
